citizenship_country,ALABAMA,LOUISIANA,MISSISSIPPI,total
AFGHANISTAN,4,1,0,5
ALBANIA,1,1,0,2
ALGERIA,1,0,0,1
ANTIGUA-BARBUDA,1,1,0,2
ARGENTINA,2,2,0,4
AUSTRALIA,1,1,0,2
BAHAMAS,20,4,7,31
BANGLADESH,1,0,0,1
BARBADOS,1,0,1,2
BELARUS,1,0,1,2
BELIZE,3,19,2,24
BRAZIL,30,47,11,88
BURKINA FASO,1,1,0,2
CANADA,2,5,1,8
CHILE,12,5,0,17
"CHINA, PEOPLES REPUBLIC OF",33,64,22,119
COLOMBIA,119,105,66,290
COSTA RICA,4,9,8,21
CUBA,69,157,42,268
CZECH REPUBLIC,2,0,0,2
DOMINICAN REPUBLIC,20,72,43,135
ECUADOR,29,25,33,87
EGYPT,1,4,0,5
EL SALVADOR,245,244,106,595
EQUATORIAL GUINEA,2,1,0,3
ERITREA,1,0,0,1
ETHIOPIA,1,3,0,4
FRANCE,2,1,0,3
GABON,1,0,0,1
GEORGIA,20,0,9,29
GERMANY,1,1,0,2
GHANA,2,2,1,5
GUATEMALA,3388,994,1094,5476
GUINEA,3,2,0,5
HAITI,94,17,4,115
HONDURAS,1236,3609,862,5707
HUNGARY,1,0,0,1
INDIA,75,44,40,159
INDONESIA,19,11,6,36
IRAN,2,5,0,7
IRAQ,1,3,0,4
IRELAND,2,0,0,2
ISRAEL,3,4,1,8
ITALY,4,2,2,8
JAMAICA,95,29,11,135
JORDAN,3,17,5,25
KAZAKHSTAN,11,1,1,13
KENYA,23,2,1,26
KUWAIT,2,1,0,3
KYRGYZSTAN,12,1,5,18
LAOS,7,11,1,19
LEBANON,1,0,0,1
MAURITANIA,8,30,4,42
MEXICO,4265,2638,2157,9060
"MICRONESIA, FEDERATED STATES OF",2,1,0,3
MONGOLIA,1,1,0,2
MONTENEGRO,2,0,0,2
MOROCCO,3,0,1,4
NEPAL,3,10,1,14
NICARAGUA,172,521,84,777
NIGERIA,5,19,10,34
PAKISTAN,3,8,3,14
PANAMA,4,4,2,10
PERU,21,8,6,35
PORTUGAL,2,0,0,2
ROMANIA,24,13,8,45
RUSSIA,23,4,12,39
SAMOA,1,0,0,1
SAUDI ARABIA,1,1,2,4
SENEGAL,2,11,4,17
SERBIA,1,1,0,2
SOMALIA,1,2,0,3
SOUTH AFRICA,1,0,0,1
SOUTH KOREA,2,0,1,3
SOUTH SUDAN,1,0,0,1
SPAIN,7,6,1,14
ST. VINCENT-GRENADINES,1,1,0,2
SUDAN,5,2,0,7
SWEDEN,2,1,0,3
SYRIA,2,0,0,2
TAJIKISTAN,7,0,0,7
TANZANIA,1,1,0,2
THAILAND,1,2,2,5
TURKIYE,14,9,4,27
TURKMENISTAN,1,0,1,2
UGANDA,2,0,0,2
UKRAINE,9,2,3,14
UNITED KINGDOM,2,6,1,9
UZBEKISTAN,32,3,3,38
VENEZUELA,391,231,132,754
VIETNAM,14,48,15,77
YEMEN,1,1,1,3
ZIMBABWE,1,0,2,3
ARMENIA,0,3,1,4
BOLIVIA,0,7,0,7
BURMA,0,2,0,2
CAMBODIA,0,2,1,3
CAMEROON,0,1,0,1
GUYANA,0,1,2,3
LIBERIA,0,1,1,2
MOLDOVA,0,1,0,1
NETHERLANDS,0,1,0,1
NEW ZEALAND,0,2,0,2
NIGER,0,1,0,1
PALESTINE BORN BEFORE 1948,0,1,0,1
PHILIPPINES,0,4,3,7
POLAND,0,2,0,2
RWANDA,0,1,0,1
SIERRA LEONE,0,1,0,1
SRI LANKA,0,1,0,1
ST. KITTS-NEVIS,0,1,0,1
ST. LUCIA,0,1,0,1
TAIWAN,0,1,0,1
TOGO,0,1,0,1
TRINIDAD AND TOBAGO,0,1,0,1
TUNISIA,0,1,2,3
UNKNOWN,0,3,0,3
URUGUAY,0,2,0,2
USSR,0,1,1,2
AZERBAIJAN,0,0,1,1
BOSNIA-HERZEGOVINA,0,0,1,1
DEM REP OF THE CONGO,0,0,1,1
DOMINICA,0,0,1,1
LATVIA,0,0,1,1
LIBYA,0,0,1,1
LITHUANIA,0,0,1,1
